uid,title,type,mvdb_id,piano_combination,final,editors.uid,editors.name,editors.gnd_id,editors.gender,editors.date_of_birth,editors.date_of_death,editors.place_of_birth,editors.place_of_death,editors.place_of_activity,editors.geographic_area_code,composers.uid,composers.name,composers.gnd_id,composers.gender,composers.date_of_birth,composers.date_of_death,composers.place_of_birth,composers.place_of_death,composers.place_of_activity,composers.geographic_area_code,works.uid,works.generic_title,works.individual_title,works.gnd_id,works.title_instrument,works.opus_no,works.title_number,works.firstcomposer,works.main_instrumentation,works.publishers,works.full_title,works.date_of_production,works.tonality,works.gnd_instruments,works.gnd_genres,works.mvdb_genres.uid,works.mvdb_genres.name,works.mvdb_genres.gnd_id,works.mvdb_instrumentation.uid,works.mvdb_instrumentation.has_orchestra,works.mvdb_instrumentation.has_choir,works.mvdb_instrumentation.instrumental_soloists,works.mvdb_instrumentation.vocal_soloists,works.mvdb_instrumentation.instruments.uid,works.mvdb_instrumentation.instruments.name,works.mvdb_instrumentation.instruments.gnd_id,works.composers.uid,works.composers.name,works.composers.gnd_id,works.composers.gender,works.composers.date_of_birth,works.composers.date_of_death,works.composers.place_of_birth,works.composers.place_of_death,works.composers.place_of_activity,works.composers.geographic_area_code,published_subitems.uid,published_subitems.mvdb_id,published_subitems.publisher_number,published_subitems.part,published_subitems.voice,published_subitems.published_item,published_subitems.prints.uid,published_subitems.prints.quantity,published_subitems.prints.date_of_action,published_subitems.prints.type,published_subitems.prints.inferred,published_subitems.prints.published_subitem,published_subitems.prints.certain,published_subitems.sales,published_subitems.maculation,published_subitems.works,instruments.uid,instruments.name,instruments.gnd_id,genres.uid,genres.name,genres.gnd_id
15161,Coll. III,adaptation,HO_08592,,1,,,,,,,,,,,,,,,,,,,,,15031.0,Melodien,Nr. 1,300133286,Klavier,"3, Nr. 1",,2928.0,64052.0,HO,"Melodien für Klavier in F-Dur, Nr. 1",1852-01-01,F-Dur,,,3163.0,Melodie,4139233-4,64052.0,0.0,0.0,Einzelinstrument Klavier,,3445.0,Klavier,4030982-4,2928.0,"Rubinštejn, Anton G.",118926802,m,1829-11-28,1894-11-20,Ofatinți,Peterhof,,XA-RU,29519,HO_08592_08595_N14_EStMl1,08595,N14,EStMl1,15161,101245.0,500.0,1921-01-25,print,0.0,29519.0,1.0,,,,4352.0,Gitarre,4124933-1,,,
1783,12 Etudes p. Piano Oe: 2,work,HO_02257,,-1,,,,,,,,,,,,,,,,,,,,,2325.0,Études caractéristiques,,300391110,,2,,1133.0,53197.0,"HO, PE",Études caractéristiques,1837-01-01,,,,2930.0,Instrumentalmusik,4129951-6,53197.0,0.0,0.0,Einzelinstrument Klavier,,3445.0,Klavier,4030982-4,1133.0,"Henselt, Adolf von",118903861,m,1814-05-09,1889-10-10,Schwabach,Warmbrunn,Sankt Petersburg,"XA-DE, XA-RU",2971,HO_02257_02257_H1_N,02257,H1,N,1783,58339.0,100.0,1853-05-01,print,0.0,2971.0,1.0,,,,,,,,,
12791,Album,collection full,PE_01453a,,1,,,,,,,,,,,,,,,,,,,,,12322.0,Gesänge aus dem spanischen Liederbuche von E. Geibel und Paul Heyse,Und schläfst du mein Mädchen,300529066,,"21, Nr. 3",,593.0,61746.0,PE,"Gesänge aus dem spanischen Liederbuche von E. Geibel und Paul Heyse, Und schläfst du mein Mädchen",1864-01-01,,,,2968.0,Lied,4035669-3,61746.0,0.0,0.0,Einzelinstrument Klavier,Singstimme Solo,3445.0,Klavier,4030982-4,593.0,"Jensen, Adolf",117102946,m,1837-01-12,1879-01-23,Königsberg,Baden-Baden,,XA-DE,21531,PE_01453a_01453a_NN_EStS,01453a,NN,EStS,12791,100095.0,1000.0,1898-01-01,print,0.0,21531.0,1.0,,,,17.0,Singstimme,4156941-6,,,
12749,Franz-Album ,collection full,PE_01112a,,1,,,,,,,,,,,,,,,,,,,,,12020.0,Gesänge,Gute Nacht!,1225730481,,"5, Nr. 7",,5046.0,61430.0,PE,"Gesänge, Gute Nacht!",1846-01-01,,,,2968.0,Lied,4035669-3,61430.0,0.0,0.0,Einzelinstrument Klavier,Singstimme Solo,3483.0,Singstimme,4156941-6,5046.0,"Franz, Robert",118702955,m,,,Halle (Saale),Halle (Saale),,XA-DE,21412,PE_01112a_01112b_NN_mS,01112b,NN,mS,12749,78691.0,1500.0,1877-02-01,print,0.0,21412.0,1.0,,,,6444.0,Singstimme,1076364136,,,
13022,op 79 Concerstück,work,PE_00282X,,1,,,,,,,,,,,,,,,,,,,,,11176.0,Konzertstücke,,300171676,"Klavier, Orchester",79,,882.0,60673.0,PE,"Konzertstücke für Klavier, Orchester in f-Moll",1821-01-01,f-Moll,,,2930.0,Instrumentalmusik,4129951-6,60673.0,1.0,0.0,Klavier,,3445.0,Klavier,4030982-4,882.0,"Weber, Carl Maria von",118629662,m,1786-11-19,1826-06-05,Eutin,London,"Salzburg, Wien, Breslau, Dresden, Prag",XA-DE,22090,PE_00282X_00282X_NN_P,00282X,NN,P,13022,64510.0,100.0,1887-03-01,print,0.0,22090.0,1.0,,,,,,,,,
15007,Coll. Morceaux Serie I.,adaptation,HO_08417,,1,,,,,,,,,,,,,,,,,,,,,14935.0,Csárdás,Nr. 3,1228261792,,,Nr. 3,5171.0,63973.0,HO,"Csárdás Nr. 3, Nr. 3",1895-01-01,,,,3163.0,Melodie,4139233-4,63973.0,0.0,0.0,Einzelinstrument Mandoline,,3409.0,Mandoline,4232939-5,5171.0,"Schick, Otto",1014104688,m,,,Bad Lauchstädt,Leipzig,,XA-DE,28987,HO_08417_08428_N12_EStMa,08428,N12,EStMa,15007,88617.0,75.0,1898-08-27,print,0.0,28987.0,1.0,,,,60538.0,Mandola,4168776-0,,,
2853,H-moll-Messe. Kl. Ausz.,adaptation,PE_00037,one piano two hands,2,,,,,,,,,,,,,,,,,,,,,1347.0,Messen,,300009879,,,,884.0,65869.0,PE,Messe in h-Moll,1748-01-01,h-Moll,,,3162.0,Messvertonung,4129031-8,65869.0,1.0,1.0,Instrumentalsolisten,Vokalsolisten,3468.0,Sopran,4392005-6,884.0,"Bach, Johann Sebastian",11850553X,m,1685-03-21,1750-07-28,Eisenach,Leipzig,"Mühlhausen/Thüringen, Weimar, Köthen (Anhalt), Leipzig",XA-DE,2088,PE_00037_00037_NN_EStS2,00037,NN,EStS2,2853,5679.0,250.0,1924-07-01,print,0.0,2088.0,1.0,,,,2562.0,Gemischter Chor,107726772X,,,
1188,Sinfonien à 2/ms.,collection full,PE_00196a,one piano two hands,2,5315.0,"Singer, Otto",117402567,m,,,Dresden,Leipzig,,XA-DE,,,,,,,,,,,630.0,Sinfonien,,300016417,,92,Nr. 7,509.0,51242.0,"PE, RB",Sinfonie Nr. 7 in A-Dur,1811-01-01,A-Dur,,,2950.0,Sinfonie,4055087-4,51242.0,1.0,0.0,,,3486.0,Orchester,4172708-3,509.0,"Beethoven, Ludwig van",118508288,m,1770-12-17,1827-03-26,Bonn,Wien,"Bonn, Wien","XA-DE, XA-AT",2015,PE_00196a_00196a_H1_N,00196a,H1,N,1188,4654.0,2000.0,1887-06-01,print,0.0,2015.0,1.0,,,,1.0,Klavier,4030982-4,,,
540,Op. 33. Romanzen.,work,RB_00401a,,1,,,,,,,,,,,,,,,,,,,,,490.0,Romanzen,,300026714,"Singstimme, Klavier",op.33,,815.0,51151.0,"PE, RB","Romanze für Singstimme, Klavier",1861-01-01,,,,2968.0,Lied,4035669-3,51151.0,0.0,0.0,Einzelinstrument Klavier,Singstimme Solo,3483.0,Singstimme,4156941-6,815.0,"Brahms, Johannes",118514253,m,1833-05-07,1897-04-03,Hamburg,Wien,Wien,"XA-DE, XA-AT",4225,RB_00401a_00401a_N2_N,00401a,N2,N,540,17261.0,75.0,1874-02-17,print,0.0,4225.0,1.0,,,,,,,,,
16860,Ouverturen 4m,collection full,PE_01395a,,1,,,,,,,,,,,,,,,,,,,,,10569.0,Isabella,Ouvertüre,300896239,,,,5054.0,60096.0,PE,"Isabella, Ouvertüre",1869-01-01,,,,2955.0,Ouvertüre,4172996-1,60096.0,1.0,0.0,,,3486.0,Orchester,4172708-3,5054.0,"Suppé, Franz von",118757873,m,,,Split,Wien,,XA-AT,21486,PE_01395a_01395a_Bd1_K4h,01395a,Bd1,K4h,16860,93498.0,1000.0,1923-02-01,print,0.0,21486.0,1.0,,,,1.0,Klavier,4030982-4,,,
